ticker,name,industry,data_date,roe_5y_avg,gross_margin_5y_avg,net_margin_5y_avg,fcf_positive_years,debt_to_equity,revenue_growth_5y_cagr,eps_growth_5y_cagr,pe,fcf_yield,roic_5y_avg,pe_percentile_5y,moat_score,management_score,moat_reason,management_reason,risk_note,risk_reason,data_source,confidence_score,circle_of_competence,warning_note,brand_score,switching_cost_score,network_effect_score,scale_advantage_score,pricing_power_score,moat_durability_score,roe_trend,roic_trend,margin_trend,revenue_trend,debt_reason
AMZN,亚马逊,电商/云计算,2025-03-31,9.8,47.3,4.2,5,0.6,12.4,38.4,40.8,2.1,8.4,68,9,8,AWS云市场领导+物流网络壁垒极深,亚西·贾西执行稳健长期主义文化延续,,AWS增速放缓，监管风险，净利率模型偏低,年报,8,inside,,8,6,7,10,5,8,improving,improving,improving,stable,
XOM,埃克森美孚,能源,2025-03-31,18.4,38.2,9.8,4,0.2,3.4,-2.4,12.3,5.8,11.8,28,6,7,大规模低成本油气资产+炼化能力,资本配置趋于保守股东回报改善,,能源转型长期压力，油价周期波动剧烈,年报,7,outside,,5,3,1,7,5,5,stable,stable,declining,stable,
TSLA,特斯拉,汽车/科技,2025-03-31,13.8,19.3,8.4,4,0.1,28.6,45.2,62.4,1.8,9.8,42,7,8,充电网络+品牌+FSD软件但竞争加剧,马斯克精力分散政治风险上升,high valuation,传统车企追赶+中国竞争，高估值不可持续,年报,7,edge,,8,5,4,5,7,5,declining,declining,declining,declining,
NFLX,奈飞,流媒体,2025-03-31,18.2,38.4,12.4,3,1.4,8.2,15.6,38.4,2.4,14.6,52,7,7,内容规模优势+用户习惯但壁垒非独占,哈斯廷斯退休后执行稳定广告策略奏效,high valuation,内容成本持续攀升，竞争格局拥挤,年报,7,inside,,7,4,6,6,6,5,improving,improving,improving,stable,
GME,游戏驿站,零售,2025-03-31,-8.4,28.4,-8.2,2,0.8,-18.4,-32.4,999,0.0,-4.8,5,1,3,曾经的零售护城河已瓦解数字化转型失败,柯恩战略模糊执行能力存疑,fraud,实体游戏零售衰退，财务数据存在疑点,公开财报,4,outside,,2,1,1,2,2,1,declining,declining,declining,declining,
GOOGL,GOOGL,Unknown,2026-05-31,,,,,,,,,,,,0,0,,,,,manual_pending,6,edge,,0,0,0,0,0,0,stable,stable,stable,stable,
MA,MA,Unknown,2026-05-31,,,,,,,,,,,,0,0,,,,,manual_pending,6,edge,,0,0,0,0,0,0,stable,stable,stable,stable,
COST,COST,Unknown,2026-05-31,,,,,,,,,,,,0,0,,,,,manual_pending,6,edge,,0,0,0,0,0,0,stable,stable,stable,stable,
ADBE,ADBE,Unknown,2026-05-31,,,,,,,,,,,,0,0,,,,,manual_pending,6,edge,,0,0,0,0,0,0,stable,stable,stable,stable,
CRM,CRM,Unknown,2026-05-31,,,,,,,,,,,,0,0,,,,,manual_pending,6,edge,,0,0,0,0,0,0,stable,stable,stable,stable,
JPM,JPM,Unknown,2026-05-31,,,,,,,,,,,,0,0,,,,,manual_pending,6,edge,,0,0,0,0,0,0,stable,stable,stable,stable,
BRK-B,BRK-B,Unknown,2026-05-31,,,,,,,,,,,,0,0,,,,,manual_pending,6,edge,,0,0,0,0,0,0,stable,stable,stable,stable,
