ticker,name,industry,data_date,roe_5y_avg,gross_margin_5y_avg,net_margin_5y_avg,fcf_positive_years,debt_to_equity,revenue_growth_5y_cagr,eps_growth_5y_cagr,pe,fcf_yield,roic_5y_avg,pe_percentile_5y,moat_score,management_score,moat_reason,management_reason,risk_note,risk_reason,data_source,confidence_score,circle_of_competence,warning_note,brand_score,switching_cost_score,network_effect_score,scale_advantage_score,pricing_power_score,moat_durability_score,roe_trend,roic_trend,margin_trend,revenue_trend,debt_reason
AMZN,亚马逊,电商/云计算,2025-03-31,9.8,47.3,4.2,5,0.6,12.4,38.4,40.8,2.1,8.4,68,9,8,AWS云市场领导+物流网络壁垒极深,亚西·贾西执行稳健长期主义文化延续,margin pressure; regulatory risk,AWS增速放缓，监管风险，净利率模型偏低,年报,8,inside,,8,6,7,10,5,8,improving,improving,improving,stable,
XOM,埃克森美孚,能源,2025-03-31,18.4,38.2,9.8,4,0.2,3.4,-2.4,12.3,5.8,11.8,28,6,7,大规模低成本油气资产+炼化能力,资本配置趋于保守股东回报改善,cyclical risk; energy transition risk,能源转型长期压力，油价周期波动剧烈,年报,7,outside,,5,3,1,7,5,5,stable,stable,declining,stable,
TSLA,特斯拉,汽车/科技,2025-03-31,13.8,19.3,8.4,4,0.1,28.6,45.2,62.4,1.8,9.8,42,7,8,充电网络+品牌+FSD软件但竞争加剧,马斯克精力分散政治风险上升,high valuation,传统车企追赶+中国竞争，高估值不可持续,年报,7,edge,,8,5,4,5,7,5,declining,declining,declining,declining,
NFLX,奈飞,流媒体,2025-03-31,18.2,38.4,12.4,3,1.4,8.2,15.6,38.4,2.4,14.6,52,7,7,内容规模优势+用户习惯但壁垒非独占,哈斯廷斯退休后执行稳定广告策略奏效,high valuation,内容成本持续攀升，竞争格局拥挤,年报,7,inside,,7,4,6,6,6,5,improving,improving,improving,stable,
GME,游戏驿站,零售,2025-03-31,-8.4,28.4,-8.2,2,0.8,-18.4,-32.4,999,0.0,-4.8,5,1,3,曾经的零售护城河已瓦解数字化转型失败,柯恩战略模糊执行能力存疑,fraud,实体游戏零售衰退，财务数据存在疑点,公开财报,4,outside,,2,1,1,2,2,1,declining,declining,declining,declining,
GOOGL,Alphabet,科技/广告,2026-05-31,,,,,,,,28.99,0.0061,,,0,8,搜索入口、广告生态、YouTube、Android 与数据规模形成强护城河，但 AI 搜索可能削弱传统搜索壁垒。,长期技术投入强，现金流充足，资本配置总体稳健，但需要继续观察 AI 时代的执行力。,regulatory risk; competition risk,反垄断监管、AI 对搜索商业模式的冲击、广告周期波动。,manual_pending,7,edge,,9,7,9,10,8,8,stable,stable,stable,stable,
MA,万事达,金融科技,2026-05-31,,,,,,,,28.57,0.037,,,0,9,全球支付网络、银行与商户双边网络效应强，转换成本高，轻资产商业模式优秀。,长期专注支付网络业务，盈利能力和股东回报稳定，资本配置较理性。,high valuation; regulatory risk,估值偏高，监管压力，数字钱包、实时支付和新型支付方式可能带来竞争。,manual_pending,7,edge,,8,9,10,9,9,9,stable,stable,stable,stable,
COST,Costco,零售/会员制商超,2026-05-31,,,,,,,,49.76,0.0183,,,0,9,会员制带来用户粘性，低毛利高周转模式稳定，规模采购优势强。,管理层长期稳健，重视会员价值和运营效率，企业文化稳定。,high valuation; margin pressure,估值经常偏贵，零售利润率低，消费放缓和成本上升会影响增长。,manual_pending,7,edge,,9,8,3,9,7,9,stable,stable,stable,stable,
ADBE,Adobe,软件,2026-05-31,,,,,,,,15.11,0.089,,,0,8,创意软件生态强，专业用户转换成本高，订阅制收入稳定。,从买断制转订阅制执行成功，长期盈利质量较高，但 AI 时代需继续观察战略执行。,competition risk; high valuation,AI 工具和新兴创意软件竞争加剧，估值偏高时安全边际不足。,manual_pending,7,edge,,8,9,5,8,8,8,stable,stable,stable,stable,
CRM,Salesforce,软件,2026-05-31,,,,,,,,22.12,0.1058,,,0,7,企业客户数据和工作流迁移成本较高，生态和销售网络有一定优势。,增长能力强，但并购较多，利润率管理和资本配置需要持续观察。,margin pressure; competition risk,企业软件竞争激烈，利润率压力，增长放缓和客户预算收缩风险。,manual_pending,6,edge,,7,8,5,8,6,7,stable,stable,stable,stable,
JPM,摩根大通,银行,2026-05-31,,,,,,,,14.33,,,,0,8,美国大型银行规模优势明显，客户基础、资产规模和风控能力强。,管理层经验丰富，风控和资本配置能力较强，但银行业务复杂度高。,cyclical risk; regulatory risk,银行业受利率周期、信用周期和监管影响大，普通投资者理解难度较高。,manual_pending,6,outside,,8,7,4,10,6,7,stable,stable,stable,stable,
BRK-B,伯克希尔哈撒韦,综合控股/保险,2026-05-31,,,,,,,,14.13,0.0598,,,0,9,保险浮存金、优质子公司组合和长期资本配置能力形成复合型护城河。,历史资本配置极强，但未来接班和再投资效率需要持续观察。,succession risk; insurance risk,接班风险，业务组合复杂，保险承保和投资收益受周期影响。,manual_pending,7,edge,,8,6,3,9,7,8,stable,stable,stable,stable,
