ticker,name,industry,data_date,total_score,rating,final_decision,quality_score,moat_score,growth_score,balance_sheet_score,valuation_score,management_score,risk_penalty,brand_score,switching_cost_score,network_effect_score,scale_advantage_score,pricing_power_score,moat_durability_score,calculated_moat_score,trend_score,industry_rank,industry_size,industry_avg_score,score_vs_industry,data_mode,financial_data_years,auto_calculated_metrics,fin_source,fin_updated_at,fin_data_warning,data_source,confidence_score,circle_of_competence,warning_note,debt_reason,moat_reason,management_reason,risk_reason
MCD,麦当劳,餐饮,2025-03-31,64.17,★   一般,一般，暂不研究,18.0,12.67,12.0,10.0,12.0,4.5,-5,9.0,3.0,2.0,9.0,7.0,8.0,6.33,9.2,1,1,64.2,0.0,annual_financials,2022-2025,是,yfinance,2026-05-31,年度数据仅 4 年（建议 5 年）; 4年均debt_to_equity<0; 4年均使用近似ROIC,年报,8,inside,[财务数据] 年度数据仅 4 年（建议 5 年）; 4年均debt_to_equity<0; 4年均使用近似ROIC,特许经营模式导致高D/E，非传统恶性负债；但绝对债务规模大，利率上行风险需关注；建议结合interest_coverage和net_debt_to_EBITDA评估,特许经营模式护城河深品牌全球无处不在,管理层执行力强特许体系运营稳定,高杠杆经营，利率敏感，健康饮食趋势压力
PG,宝洁,消费品,2025-03-31,61.67,★   一般,一般，暂不研究,22.0,11.67,5.0,7.0,12.0,4.0,0,8.0,3.0,2.0,8.0,7.0,7.0,5.83,6.7,2,2,65.7,-4.0,annual_financials,2022-2025,是,yfinance,2026-05-31,年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,年报,8,inside,[财务数据] 年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,,品牌组合+渠道覆盖+研发壁垒,低调稳健65年分红连续增长记录,通胀挤压利润，日用品创新难度大
CRM,Salesforce,软件,2026-05-31,59.17,    暂时放弃,暂时放弃,14.0,13.67,12.0,10.0,6.0,3.5,0,7.0,8.0,5.0,8.0,6.0,7.0,6.83,10.0,2,2,65.2,-6.1,annual_financials,2023-2026,是,yfinance,2026-05-31,年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,manual_pending,6,edge,[财务数据] 年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,,企业客户数据和工作流迁移成本较高，生态和销售网络有一定优势。,增长能力强，但并购较多，利润率管理和资本配置需要持续观察。,企业软件竞争激烈，利润率压力，增长放缓和客户预算收缩风险。
BABA,阿里巴巴,电商/云计算,2025-03-31,57.17,    暂时放弃,超出能力圈,10.0,12.67,12.0,10.0,15.0,2.5,-5,7.0,5.0,8.0,8.0,5.0,5.0,6.33,10.0,1,2,54.9,2.2,annual_financials,2023-2026,是,yfinance,2026-05-31,年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,公开财报(审计质量存疑),5,outside,数据可信度偏低(5/10)：请用更可靠的数据来源核实 | 超出能力圈(outside)：对该公司/行业理解不足，评分参考价值有限 | [财务数据] 年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,,阿里云+电商平台网络效应明显,蔡崇信回归稳定预期但执行待观察,中国监管不确定性极高，拼多多竞争激烈
NFLX,奈飞,流媒体,2025-03-31,56.83,    暂时放弃,暂时放弃,22.0,11.33,15.0,7.0,3.0,3.5,-5,7.0,4.0,6.0,6.0,6.0,5.0,5.67,10.0,1,1,56.8,0.0,annual_financials,2022-2025,是,yfinance,2026-05-31,年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,年报,7,inside,[财务数据] 年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,,内容规模优势+用户习惯但壁垒非独占,哈斯廷斯退休后执行稳定广告策略奏效,内容成本持续攀升，竞争格局拥挤
JPM,摩根大通,银行,2026-05-31,56.0,    暂时放弃,超出能力圈,13.0,14.0,15.0,3.0,7.0,4.0,0,8.0,7.0,4.0,10.0,6.0,7.0,7.0,9.2,1,1,56.0,0.0,annual_financials,2022-2025,是,yfinance,2026-05-31,年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,manual_pending,6,outside,超出能力圈(outside)：对该公司/行业理解不足，评分参考价值有限 | [财务数据] 年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC | 银行业不适合用普通企业 FCF Yield / 毛利率评价，应参考ROE、资本充足率、坏账率、净息差等银行指标。,,美国大型银行规模优势明显，客户基础、资产规模和风控能力强。,管理层经验丰富，风控和资本配置能力较强，但银行业务复杂度高。,银行业受利率周期、信用周期和监管影响大，普通投资者理解难度较高。
COST,Costco,零售/会员制商超,2026-05-31,54.5,    暂时放弃,暂时放弃,16.0,15.0,12.0,10.0,2.0,4.5,-5,9.0,8.0,3.0,9.0,7.0,9.0,7.5,9.2,1,1,54.5,0.0,annual_financials,2022-2025,是,yfinance,2026-05-31,年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,manual_pending,7,edge,[财务数据] 年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,,会员制带来用户粘性，低毛利高周转模式稳定，规模采购优势强。,管理层长期稳健，重视会员价值和运营效率，企业文化稳定。,估值经常偏贵，零售利润率低，消费放缓和成本上升会影响增长。
XOM,埃克森美孚,能源,2025-03-31,53.17,    暂时放弃,超出能力圈,16.0,8.67,0.0,10.0,15.0,3.5,0,5.0,3.0,1.0,7.0,5.0,5.0,4.33,0.0,1,1,53.2,0.0,annual_financials,2022-2025,是,yfinance,2026-05-31,年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,年报,7,outside,超出能力圈(outside)：对该公司/行业理解不足，评分参考价值有限 | 财务趋势恶化，需要谨慎（ROE、ROIC、利润率、营收趋势下滑） | [财务数据] 年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,,大规模低成本油气资产+炼化能力,资本配置趋于保守股东回报改善,能源转型长期压力，油价周期波动剧烈
AMZN,亚马逊,电商/云计算,2025-03-31,52.67,    暂时放弃,暂时放弃,12.0,14.67,9.0,10.0,3.0,4.0,0,8.0,6.0,7.0,10.0,5.0,8.0,7.33,7.5,2,2,54.9,-2.2,annual_financials,2022-2025,是,yfinance,2026-05-31,年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,年报,8,inside,[财务数据] 年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,,AWS云市场领导+物流网络壁垒极深,亚西·贾西执行稳健长期主义文化延续,AWS增速放缓，监管风险，净利率模型偏低
BRK-B,伯克希尔哈撒韦,综合控股/保险,2026-05-31,51.17,    暂时放弃,暂时放弃,7.0,13.67,9.0,10.0,7.0,4.5,0,8.0,6.0,3.0,9.0,7.0,8.0,6.83,7.5,1,1,51.2,0.0,annual_financials,2022-2025,是,yfinance,2026-05-31,年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,manual_pending,7,edge,[财务数据] 年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC | 保险/综合控股公司财务口径特殊，普通ROIC、毛利率、FCF Yield参考价值有限。,,保险浮存金、优质子公司组合和长期资本配置能力形成复合型护城河。,历史资本配置极强，但未来接班和再投资效率需要持续观察。,接班风险，业务组合复杂，保险承保和投资收益受周期影响。
TSLA,特斯拉,汽车/科技,2025-03-31,40.33,    暂时放弃,暂时放弃,14.0,11.33,4.0,10.0,2.0,4.0,-5,8.0,5.0,4.0,5.0,7.0,5.0,5.67,2.5,1,1,40.3,0.0,annual_financials,2022-2025,是,yfinance,2026-05-31,年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,年报,7,edge,财务趋势恶化，需要谨慎（ROE、ROIC、利润率趋势下滑） | [财务数据] 年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,,充电网络+品牌+FSD软件但竞争加剧,马斯克精力分散政治风险上升,传统车企追赶+中国竞争，高估值不可持续
GME,游戏驿站,零售,2025-03-31,9.5,    暂时放弃,超出能力圈,5.0,3.0,2.0,7.0,1.0,1.5,-10,2.0,1.0,1.0,2.0,2.0,1.0,1.5,5.0,1,1,9.5,0.0,annual_financials,2023-2026,是,yfinance,2026-05-31,年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,公开财报,4,outside,数据可信度偏低(4/10)：请用更可靠的数据来源核实 | 超出能力圈(outside)：对该公司/行业理解不足，评分参考价值有限 | 风险标记含'fraud/造假'：高风险，请极度谨慎 | [财务数据] 年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,,曾经的零售护城河已瓦解数字化转型失败,柯恩战略模糊执行能力存疑,实体游戏零售衰退，财务数据存在疑点
